品牌,连锁店 老字号 门店 旗舰
技师,助理 帅哥 美女 助手 小伙 男生 男孩 技工 帅哥 妮子 妞儿 师傅 阿弟 老师 造型师 理发师 技师 美发师 洗头师 发型设计师 总监 设计师 首席 顾问 师父 学员 小哥 老板 美容师 老板娘 店主 按摩师
效果,效果 功效
发型,发型 感觉 造型 地方 样子 心情 习惯 额 象 心理 形 样式 安慰 顾虑 情绪 花样 念头 去处 式样 发式 日范儿 欧美系
同伴,朋友 同事 妈妈 老公 同学 男朋友 姐 老婆 女朋友 好友 女儿 男友 儿子 办公室 女友 婆婆 亲戚 爸爸 室友 媳妇 表妹 死党 表姐 邻居 宿舍 外婆 姨 寝室 姑姑 嫂子 亲友 密友 舅妈
环境,环境 气氛 空间 氛围 装潢 店堂 布局 格局 场地
技术,技术 手艺 手法 手势 指法
服务,服务 态度 口才 话 废话 声音 讲话 嘴 表情 口气 神情
会员卡,卡 会员卡 金卡 优惠卡 储值卡
颜色,颜色 色 红色 亚麻 黑色 棕色 紫色 巧克力 黄色 棕 栗色 咖啡色 金色 紫红色 青色 深棕色 铜 灰色 浅色 橙色 底色 栗子 冷色 栗 橘 褐色 茶色 亮色 板栗 梨木 粽 红铜
价格,价格 价位 价钱 钱 现价 天价 大洋 银子 最低价
优惠, 折扣 特价 优惠价 积分 团购 套餐 券 优惠券
发型,刘海 层次 发梢 长度 眉毛 分叉 形状 长短 刘海儿 鬓角 尾部 断层 齐齐 厚度 一团糟 花都 弧形 太卷 圆弧 雏形 厚薄 薄厚 短发 长发 长卷 披肩 齐肩 齐耳
顾客,顾客 回头客 客人 客户 过客 店客 来客
化妆品,药水 染发剂 药膏 材料 蒸汽 水分 染料 油膏 营养液 药剂 洗发膏 洗头膏 色素 配方 染色剂 液体 氨基酸 胶水 双氧水 酒精 蛋白质 印度 芳香 海藻 中草药 营养素 化学品 硅 香波 颜料 洗发精 欧来雅 香精 试剂 欧莱亚 海娜粉 醋 潘婷 蓬蓬粉 化学剂 香奈儿 乔薇尔 橄榄油 叶绿素 伊诺雅 克丽缇 胡麻 修护发 精油 酶
设备,机器 加热器 蒸汽机 负离子 水 汤 热水 杯子 口味 温水 种类 盖子 品种 碟 白开水 开水 热茶 拖鞋 冷热 吸管 纸杯 花草 盘子 壶 饮水 饥 靠枕 白水 玻璃杯 毛毯 托盘 电板 杠子 夹板 卷子 电棒 风机 电吹风 筒 冷风 风机
发质,油性 看头 沙性发 干性发
服务员,前台 店员 小工 小姐 小姑娘 姐姐 服务员 妹妹 女孩 姑娘 妹子 服务生 大姐 伙计 高价 美眉 服务台 接待员 小妹妹 接线员 小弟 小妹
店面,店面 门面 面积 门脸 规模
风格,时尚 风格 潮 低调 类型 潮流 路线 淑女 张扬 韩式 前卫 款式 青春 元素 中性 韩范儿 新潮 韩范 小巧 欧美范 高贵 高调 张扬 亮
位置,位置 交通 地段 地点
脸型,圆脸 脸蛋 瓜子脸 脸盘 脸庞
年纪,年纪 年龄
饮料点心,饮料 水果 茶 咖啡 茶水 点心 零食 糖果 饼干 奶茶 糖 大麦 冰 面包 蛋糕 果汁 小吃 柠檬水 饮品 菊花茶 红茶 奶 粥 茶点 橙汁 绿茶 牛奶 花茶 矿泉水 果盘 棒棒糖 王老吉 甜品 热饮 食品 爆米花 柚子 酸奶 番茄 汁 果茶 美味 橘子 柠檬茶 酵素 话梅 糕点 红豆 三明治 玫瑰花 盒饭 香蕉 菊花 蜂蜜 绿豆 冷饮 八宝粥 茉莉花茶 拼盘 糖水 枸杞 花果 曲奇
国家,日本 韩国 中国 香港 台湾 法国 英国 美国 新加坡 东京 亚洲 欧洲
名人,偶像 艺术家 孙俪 文章 王菲 周杰伦 李芸 吴彦祖 陈坤 高圆圆 维多利亚 何炅 林俊杰 童话 刘谦 黄晓明 罗志祥 莫文蔚 陈冠希 吴镇宇 佟大为 汪涵 吴尊 谢霆锋 汤唯 任贤齐 言承旭 大腕 刘诗诗 李冰冰
口碑,评论 口碑 评语 真实性 可信度 人气 名气 知名度
质感,质感
着装,衣服 衣 衬衫 裙子 制服 领子 裤子 鞋子 衫 裤 西装 工作服 衬衣 高跟鞋 格子 恤 衣领 裙 上衣 牛仔裤 皮鞋 短裙 西服 牛仔 戒指 镜框 紧身 领带 工装 西裤 背带
音乐,音乐 歌 背景 歌曲 轻音乐
发质,光泽 弹性 毛燥 手感 光亮 顺顺 亮泽
工具,剪刀 剪子 把头 推子 冷水 热水器 凉水 刀子 秒钟 剃刀 根毛 电推子
创意,创意 灵感
个性,个性 特色 范儿 品位 腔调 气息 情调 风范 内涵 韵味
顾客,明星 国际 私人 模特 电视台 节目 新娘 殿堂 艺人 主持人 频道 晚会 派对 演员 卫视 剧组 平面 时装 发布会
场景,生日 国庆节 长假 节日 伴娘 喜酒 婚礼 会议 婚宴 晚宴 宴会 婚纱照 结婚照
